"";"genome_id"
"11746";"40324.92"
"11751";"40324.96"
"11757";"40324.89"
"11760";"40324.93"
"11765";"40324.95"
"11774";"40324.94"
"11778";"40324.90"
"11781";"40324.97"
"11790";"40324.98"
"11793";"40520.5"
"11794";"40373.3"
"11795";"40520.7"
"11796";"40520.4"
"11797";"40520.6"
"11798";"40324.99"
"11801";"410072.5"
"11802";"410072.6"
"11803";"411464.8"
"11804";"406819.9"
"11805";"411462.6"
"11806";"411467.6"
"11807";"411470.6"
"11808";"411471.5"
"11810";"411474.6"
"11811";"411477.4"
"11813";"411479.10"
"11814";"411490.6"
"11815";"416943.3"
"11816";"412614.24"
"11817";"418127.6"
"11830";"418240.4"
"11832";"418240.3"
"11833";"420404.4"
"11834";"419005.5"
"11836";"416944.3"
"11837";"419109.25"
"11839";"42858.11"
"11840";"42858.10"
"11842";"42858.12"
"11845";"43306.10"
"11878";"428406.5"
"11879";"43306.13"
"11915";"43306.15"
"11952";"43306.14"
"11987";"43306.11"
"12024";"43306.12"
"12060";"43306.19"
"12093";"42234.22"
"12094";"43306.16"
"12127";"43306.18"
"12165";"43306.8"
"12198";"43306.21"
"12233";"43306.17"
"12268";"43306.20"
"12300";"43306.22"
"12336";"43306.9"
"12368";"43306.7"
"12402";"43675.16"
"12404";"43675.15"
"12405";"43675.27"
"12406";"437670.3"
"12407";"437685.3"
"12408";"437684.3"
"12409";"437671.3"
"12410";"437663.3"
"12411";"43771.5"
"12412";"44008.20"
"12416";"44008.21"
"12422";"437687.3"
"12423";"44008.22"
"12426";"44008.5"
"12427";"44008.25"
"12428";"44008.23"
"12430";"44283.13"
"12437";"441103.3"
"12438";"44283.22"
"12445";"446043.3"
"12446";"445972.6"
"12447";"445960.4"
"12448";"446.143"
"12449";"446.192"
"12450";"446.193"
"12451";"446.200"
"12452";"446.198"
"12453";"446.199"
"12454";"446.201"
"12455";"446.209"
"12456";"446.214"
"12457";"446.217"
"12458";"446.216"
"12459";"446.227"
"12460";"446.242"
"12461";"446.243"
"12462";"446.246"
"12463";"446.259"
"12464";"446.258"
"12465";"446.260"
"12466";"446.266"
"12467";"446.269"
"12468";"446.271"
"12469";"446.272"
"12470";"446.278"
"12471";"446.279"
"12472";"446.280"
"12473";"446.289"
"12475";"446.286"
"12476";"446.282"
"12477";"446.291"
"12478";"446.290"
"12479";"446.292"
"12480";"446.293"
"12481";"446.295"
"12482";"446.296"
"12483";"446.297"
"12484";"446.305"
"12485";"446.306"
"12486";"446.304"
"12487";"446.310"
"12488";"446.316"
"12489";"446.315"
"12490";"446.317"
"12491";"446.319"
"12492";"446.318"
"12493";"446.326"
"12494";"446.330"
"12495";"446.335"
"12496";"446.338"
"12497";"446.339"
"12498";"446.345"
"12499";"446.346"
"12500";"446.347"
"12501";"446.348"
"12502";"446.354"
"12503";"446.357"
"12504";"446.355"
"12505";"446.364"
"12506";"446.365"
"12507";"446.367"
"12508";"446.368"
"12509";"446.366"
"12510";"446372.3"
"12512";"446.377"
"12513";"446.378"
"12514";"446.388"
"12515";"446.424"
"12516";"446.432"
"12517";"446.435"
"12518";"446.433"
"12519";"446.439"
"12520";"446.438"
"12521";"446.434"
"12522";"446.436"
"12523";"446.437"
"12524";"446.443"
"12525";"446.440"
"12526";"446.441"
"12527";"446.442"
"12528";"446.445"
"12529";"446.446"
"12530";"446.444"
"12531";"446.447"
"12532";"446.449"
"12533";"446.448"
"12534";"446.451"
"12535";"446.450"
"12536";"446.452"
"12537";"446.455"
"12538";"446.453"
"12539";"446.454"
"12540";"446.468"
"12541";"446.467"
"12542";"446.469"
"12543";"446.470"
"12544";"446.477"
"12545";"446.476"
"12546";"446.480"
"12547";"446.481"
"12548";"446.482"
"12549";"446.479"
"12550";"446.478"
"12551";"446.490"
"12552";"446.491"
"12553";"446.492"
"12554";"446.500"
"12555";"446.505"
"12556";"446.506"
"12557";"451516.9"
"12569";"449673.7"
"12570";"450746.3"
"12571";"450394.6"
"12581";"452436.11"
"12583";"453363.4"
"12585";"453362.4"
"12587";"453364.9"
"12589";"453361.4"
"12590";"453366.3"
"12592";"453365.4"
"12594";"454006.4"
"12595";"455193.3"
"12596";"46170.128"
"12603";"46170.129"
"12612";"46170.131"
"12619";"46170.130"
"12627";"46170.132"
"12635";"46170.134"
"12642";"46170.133"
"12649";"46170.135"
"12656";"46170.136"
